Date,Temperature,Humidity,Wind Speed,Pressure,Solar Radiation,Rainfall
2023-01-01 00:00:00,11.25,69.23,5.24,1018.4,0.0,0.0
2023-01-01 01:00:00,11.28,57.89,6.44,1016.89,241.46,0.31
2023-01-01 02:00:00,14.05,57.04,3.28,1015.19,334.59,0.39
2023-01-01 03:00:00,16.84,64.47,8.39,1016.19,508.22,0.07
2023-01-01 04:00:00,14.12,62.62,0.91,1013.9,677.9,0.15
2023-01-01 05:00:00,14.62,60.41,7.91,1014.51,704.46,0.22
2023-01-01 06:00:00,18.42,65.87,4.91,1014.11,704.98,0.0
2023-01-01 07:00:00,16.62,62.63,7.01,1013.0,698.07,0.25
2023-01-01 08:00:00,13.65,63.44,5.73,1016.77,680.68,0.29
2023-01-01 09:00:00,14.88,66.46,5.69,1014.81,597.21,0.0
2023-01-01 10:00:00,11.83,62.21,6.11,1008.6,432.57,0.04
2023-01-01 11:00:00,10.62,72.53,6.62,1015.64,286.45,0.27
2023-01-01 12:00:00,10.74,60.69,4.34,1014.24,5.08,0.13
2023-01-01 13:00:00,5.14,70.72,7.07,1016.06,11.81,0.11
2023-01-01 14:00:00,-0.84,70.84,5.73,1012.48,0.0,0.12
2023-01-01 15:00:00,5.6,60.31,4.99,1017.06,0.0,0.09
2023-01-01 16:00:00,3.9,66.33,6.67,1012.69,104.03,0.18
2023-01-01 17:00:00,6.06,72.68,6.99,1016.62,13.07,0.08
2023-01-01 18:00:00,3.44,74.07,5.92,1010.72,17.41,0.2
2023-01-01 19:00:00,2.6,67.84,4.21,1011.06,0.0,0.05
2023-01-01 20:00:00,8.86,61.9,6.79,1016.01,20.52,0.28
2023-01-01 21:00:00,6.27,71.64,3.66,1011.34,32.92,0.3
2023-01-01 22:00:00,7.89,71.97,8.5,1024.03,55.52,0.17
2023-01-01 23:00:00,6.11,61.12,4.83,1015.83,31.5,0.09
2023-01-02 00:00:00,9.43,59.27,1.92,1013.12,0.0,0.0
2023-01-02 01:00:00,12.03,65.11,2.61,1017.1,198.58,0.03
2023-01-02 02:00:00,10.71,67.79,5.09,1010.6,396.4,0.02
2023-01-02 03:00:00,14.8,61.1,5.28,1017.62,571.04,0.0
2023-01-02 04:00:00,13.65,66.57,8.94,1017.48,756.2,0.26
2023-01-02 05:00:00,14.76,59.07,2.92,1019.27,826.37,0.63
2023-01-02 06:00:00,14.31,52.27,5.08,1010.8,837.65,0.0
2023-01-02 07:00:00,19.05,58.36,2.88,1006.89,874.2,0.02
2023-01-02 08:00:00,14.82,62.91,4.01,1009.95,560.01,0.39
2023-01-02 09:00:00,11.94,62.65,8.37,1011.59,542.68,0.23
2023-01-02 10:00:00,14.66,56.88,2.73,1021.34,399.44,0.1
2023-01-02 11:00:00,9.37,56.24,6.17,1023.98,173.44,0.99
2023-01-02 12:00:00,10.93,61.96,5.79,1014.72,0.0,0.17
2023-01-02 13:00:00,5.3,71.84,4.95,1013.05,0.0,0.22
2023-01-02 14:00:00,5.36,73.6,6.04,1011.25,0.0,0.21
2023-01-02 15:00:00,7.37,72.25,2.68,1017.12,44.7,0.05
2023-01-02 16:00:00,7.66,62.09,8.31,1023.94,38.7,0.13
2023-01-02 17:00:00,6.03,61.22,8.85,1021.93,0.0,0.05
2023-01-02 18:00:00,5.29,69.84,5.09,1018.69,11.01,0.14
2023-01-02 19:00:00,5.08,70.63,9.85,1018.62,67.88,0.01
2023-01-02 20:00:00,3.23,70.39,4.2,1017.16,0.0,0.1
2023-01-02 21:00:00,5.54,57.16,5.8,1012.76,0.0,0.09
2023-01-02 22:00:00,7.1,62.12,7.86,1009.32,14.32,0.07
2023-01-02 23:00:00,11.34,64.18,4.08,1012.9,0.5,0.02
2023-01-03 00:00:00,11.46,66.71,2.24,1015.11,42.53,0.29
2023-01-03 01:00:00,8.54,69.57,1.78,1005.73,132.16,0.11
2023-01-03 02:00:00,13.92,63.76,9.12,1012.24,349.71,0.34
2023-01-03 03:00:00,13.54,64.88,3.94,1008.87,599.79,0.36
2023-01-03 04:00:00,13.75,63.55,4.63,1018.07,607.71,0.05
2023-01-03 05:00:00,16.83,65.01,2.77,1010.25,813.33,0.11
2023-01-03 06:00:00,17.84,62.65,6.9,1014.64,822.49,0.0
2023-01-03 07:00:00,17.47,61.6,3.44,1009.5,809.84,0.14
2023-01-03 08:00:00,13.43,61.95,4.02,1020.99,669.36,0.39
2023-01-03 09:00:00,13.69,63.56,5.6,1004.5,591.18,0.17
2023-01-03 10:00:00,13.94,65.45,2.87,1015.38,341.39,0.2
2023-01-03 11:00:00,14.02,64.33,4.64,1006.61,186.33,0.31
2023-01-03 12:00:00,9.82,67.0,7.8,1010.45,1.82,0.03
2023-01-03 13:00:00,9.11,72.16,5.86,1014.03,0.0,0.18
2023-01-03 14:00:00,6.06,68.3,5.26,1014.28,10.91,0.0
2023-01-03 15:00:00,4.85,64.33,5.43,1014.15,0.0,0.06
2023-01-03 16:00:00,8.07,70.38,4.22,1013.76,13.43,0.0
2023-01-03 17:00:00,8.66,58.84,8.99,1009.79,87.09,0.17
2023-01-03 18:00:00,5.63,61.78,3.38,1012.18,0.0,0.37
2023-01-03 19:00:00,7.95,67.7,5.42,1013.16,0.0,0.03
2023-01-03 20:00:00,7.17,69.0,5.23,1013.98,0.0,0.29
2023-01-03 21:00:00,5.95,60.8,7.02,1012.67,0.0,0.03
2023-01-03 22:00:00,9.0,63.59,7.21,1016.65,35.1,0.04
2023-01-03 23:00:00,12.56,60.69,4.94,1013.47,0.0,0.5
2023-01-04 00:00:00,10.96,62.09,5.58,1014.01,37.12,0.0
2023-01-04 01:00:00,15.46,66.99,5.66,1011.09,224.85,0.04
2023-01-04 02:00:00,8.29,69.39,0.46,1007.74,396.77,0.0
2023-01-04 03:00:00,16.21,61.8,1.82,1013.77,514.21,0.07
2023-01-04 04:00:00,15.54,59.5,3.79,1019.04,727.09,0.09
2023-01-04 05:00:00,15.26,55.62,3.88,1015.22,787.95,0.0
2023-01-04 06:00:00,16.22,68.99,2.6,1008.91,723.6,0.13
2023-01-04 07:00:00,11.89,67.02,6.5,1017.07,724.51,0.1
2023-01-04 08:00:00,17.14,59.98,6.38,1011.32,554.37,0.2
2023-01-04 09:00:00,15.28,65.96,4.57,1016.57,497.4,0.4
2023-01-04 10:00:00,16.49,61.4,2.49,1011.16,384.33,0.07
2023-01-04 11:00:00,11.29,62.92,4.91,1014.77,154.26,0.16
2023-01-04 12:00:00,9.42,67.47,0.25,1010.41,0.0,0.09
2023-01-04 13:00:00,8.73,61.93,4.67,1010.53,69.53,0.01
2023-01-04 14:00:00,10.36,63.1,5.13,1005.17,51.44,0.34
2023-01-04 15:00:00,8.15,66.53,5.48,1015.56,0.0,0.2
2023-01-04 16:00:00,5.64,64.68,1.87,1014.85,39.68,0.0
2023-01-04 17:00:00,7.23,69.73,5.45,1015.13,60.74,0.0
2023-01-04 18:00:00,6.23,76.23,2.92,1014.38,30.93,0.07
2023-01-04 19:00:00,8.14,62.16,3.38,1009.19,14.95,0.33
2023-01-04 20:00:00,5.3,59.03,6.44,1017.83,54.92,0.29
2023-01-04 21:00:00,6.84,56.57,9.03,1017.96,38.48,0.1
2023-01-04 22:00:00,7.75,65.37,5.1,1009.06,0.0,0.0
2023-01-04 23:00:00,7.29,65.31,4.07,1015.66,0.0,0.0
2023-01-05 00:00:00,11.88,65.1,5.38,1017.37,0.0,0.33
2023-01-05 01:00:00,13.11,64.11,6.88,1010.65,264.68,0.12
2023-01-05 02:00:00,13.8,55.08,6.24,1011.52,370.98,0.02
2023-01-05 03:00:00,14.36,53.75,10.49,1015.67,528.08,0.01
2023-01-05 04:00:00,12.79,65.09,3.57,1005.45,744.15,0.08
2023-01-05 05:00:00,15.28,63.04,5.5,1007.56,785.72,0.03
2023-01-05 06:00:00,15.6,60.07,8.1,1008.05,905.59,0.27
2023-01-05 07:00:00,14.51,54.46,7.97,1004.02,729.63,0.07
2023-01-05 08:00:00,15.3,64.71,1.1,1018.42,666.88,0.42
